slug,company_name,company_linkedin_url,company_status,company_website
asha-health,Asha Health,https://www.linkedin.com/company/asha-health-ai/,Active,https://asha.health/
apolink,Apolink,https://linkedin.com/company/apolinkHQ,Active,https://apolink.space
humanlayer,HumanLayer,https://www.linkedin.com/company/humanlayer-dev/,Active,https://humanlayer.dev/
loombotic,Loombotic,https://www.linkedin.com/company/loombotic,Active,https://www.loombotic.com/
roundabout-technologies,Roundabout Technologies,https://linkedin.com/company/roundabout-tech,Active,https://roundabout.tech
synth-3,Synth,https://www.linkedin.com/company/105503800,Active,https://www.usesynth.ai
careforce,Careforce,https://www.linkedin.com/company/104092972,Active,https://careforce.ai/
canvas,Canvas,https://www.linkedin.com/company/canvasai/,Active,https://www.canvas.inc/
ember,Ember,https://www.linkedin.com/company/embercopilot,Active,https://www.embercopilot.ai
relvy-ai,Relvy AI,https://www.linkedin.com/company/relvyai,Active,https://www.relvy.ai/
friday,Friday,https://www.linkedin.com/company/fridaymail/,Active,https://www.friday.so
sre-ai,SRE.ai,https://www.linkedin.com/company/sreai,Active,https://sre.ai/
ryvn,Ryvn,https://www.linkedin.com/company/ryvn/,Active,https://ryvn.ai/
melder,Melder,https://www.linkedin.com/company/melderai/,Active,https://melder.io
forerunner-ai,Forerunner AI,https://www.linkedin.com/company/tryforerunner/,Active,https://tryforerunner.com/
futureclinic,FutureClinic,https://www.linkedin.com/company/futureclinic,Active,https://www.futureclinic.com
struct-ai,Struct,https://www.linkedin.com/company/use-edgedive/,Active,https://struct.ai
surge,Surge,https://www.linkedin.com/company/surgeapi,Active,https://surge.app
sunset,Sunset,https://www.linkedin.com/company/sunset-estate-app/,Active,https://www.hellosunset.com/
archilabs,ArchiLabs,https://www.linkedin.com/company/archilabs-ai/,Active,https://archilabs.ai/
revi,Revi,https://www.linkedin.com/company/revi,Active,https://www.revi.ai/
metreecs,Metreecs,https://www.linkedin.com/company/metreecs/,Active,https://www.metreecs.com/
diffusion-studio,Diffusion Studio,https://www.linkedin.com/company/diffusionstudio/,Active,https://diffusion.studio/
kilvin,Kilvin,https://linkedin.com/company/kilvin-ai/,Active,https://www.kilvin.ai/
alex,Alex,https://www.linkedin.com/company/alex-sidebar/,Active,https://alexcodes.app/
innate,Innate,https://www.linkedin.com/company/innate-bot,Active,https://innate.bot/
capy,Capy,https://www.linkedin.com/company/capydotai,Active,https://capy.ai/
consus,Consus,https://www.linkedin.com/company/consusindustries,Active,https://www.consus.io
origami-2,Origami,https://www.linkedin.com/company/origamiagents/,Active,https://origami.chat/
fresco,Fresco,https://www.linkedin.com/company/104799979/admin/dashboard/,Active,https://fresco-ai.com/
permitportal,PermitPortal,https://www.linkedin.com/company/permitportal/,Active,https://permitportalapp.com/
gecko-security,Gecko Security,https://www.linkedin.com/company/geckosec,Active,https://gecko.security
curo,Curo,https://www.linkedin.com/company/curocharging/,Active,https://www.curocharging.com/
dexter,Dexter,https://www.linkedin.com/company/getdexter,Active,https://www.getdexter.co/
moonshine,Moonshine,https://www.linkedin.com/company/usemoonshine,Active,https://usemoonshine.com/
abundant,Abundant,https://www.linkedin.com/company/abundant-ai/,Active,https://www.abundant.ai/
crustdata,Crustdata,https://www.linkedin.com/company/crustdata,Active,https://crustdata.com
